Date,Open,High,Low,Close,Adj Close,Volume
2015-08-13,3.4,3.56,2.02,2.5,2.417924,824041500
2015-08-14,2.38,2.42,2.2,2.26,2.185803,220638500
2015-08-17,2.2,2.2,2.02,2.02,1.9536830000000003,81074800
2015-08-18,1.92,2.1,1.89,1.92,1.856966,95505900
2015-08-19,1.96,2.18,1.96,2.04,1.973026,154466900
2015-08-20,2.12,2.14,2.0,2.04,1.973026,51548900
2015-08-21,2.02,2.08,1.99,2.0,1.934339,29589100
2015-08-24,1.96,1.98,1.68,1.68,1.624845,27442500
2015-08-25,1.76,2.02,1.65,1.99,1.924668,159358100
2015-08-26,1.95,2.06,1.85,1.85,1.789264,81244200
2015-08-27,1.9,1.98,1.87,1.89,1.8279509999999999,36107000
2015-08-28,1.92,2.0,1.86,1.86,1.798936,46620600
2015-08-31,1.87,1.92,1.83,1.86,1.798936,15806500
2015-09-01,1.88,2.04,1.85,1.89,1.8279509999999999,107156000
2015-09-02,1.91,1.95,1.88,1.93,1.866638,23091500
2015-09-03,1.95,2.02,1.91,1.93,1.866638,52436900
2015-09-04,1.95,1.95,1.89,1.89,1.8279509999999999,15070700
2015-09-07,1.9,1.96,1.89,1.93,1.866638,19113000
2015-09-08,1.94,1.96,1.91,1.94,1.876309,15194000
2015-09-09,1.97,2.1,1.94,2.1,2.031056,81367900
2015-09-10,2.04,2.16,2.02,2.08,2.0117130000000003,69536900
2015-09-11,2.12,2.26,2.08,2.1,2.031056,102115400
2015-09-14,2.1,2.18,2.02,2.02,1.9536830000000003,44224800
2015-09-15,2.04,2.1,1.94,1.95,1.8859810000000001,30889700
2015-09-16,1.97,1.99,1.94,1.97,1.9053240000000002,11661900
2015-09-17,1.98,2.02,1.95,1.96,1.8956529999999998,21059400
2015-09-18,1.97,2.02,1.95,1.95,1.8859810000000001,19007900
2015-09-21,1.96,2.02,1.95,2.0,1.934339,40856400
2015-09-22,2.02,2.04,1.94,1.94,1.876309,15907200
2015-09-23,1.95,1.99,1.94,1.96,1.8956529999999998,13577800
2015-09-24,1.96,1.97,1.86,1.86,1.798936,12850900
2015-09-25,1.89,1.93,1.84,1.86,1.798936,14783200
2015-09-28,1.86,1.86,1.76,1.76,1.702219,9287100
2015-09-29,1.74,1.82,1.72,1.8,1.740905,14685900
2015-09-30,1.82,1.85,1.78,1.78,1.7215619999999998,11647200
2015-10-01,1.79,1.83,1.77,1.79,1.731234,8050500
2015-10-02,1.8,1.81,1.78,1.78,1.7215619999999998,3599100
2015-10-05,1.8,1.88,1.79,1.88,1.818279,22281600
2015-10-06,1.92,1.93,1.86,1.87,1.808607,23365900
2015-10-07,1.9,1.91,1.86,1.87,1.808607,15109900
2015-10-08,1.88,1.89,1.86,1.86,1.798936,6212300
2015-10-09,1.87,1.88,1.85,1.86,1.798936,4167100
2015-10-12,1.86,1.87,1.84,1.84,1.7795919999999998,3354400
2015-10-13,1.84,1.84,1.81,1.82,1.7602490000000002,3264300
2015-10-14,1.83,1.86,1.82,1.82,1.7602490000000002,5380400
2015-10-15,1.84,1.85,1.81,1.82,1.7602490000000002,4960000
2015-10-16,1.83,1.86,1.82,1.83,1.7699200000000002,5348300
2015-10-19,1.83,1.86,1.83,1.84,1.7795919999999998,3537100
2015-10-20,1.85,1.95,1.84,1.93,1.866638,49484900
2015-10-21,1.96,2.0,1.92,1.92,1.856966,40261500
2015-10-22,1.91,1.96,1.9,1.92,1.856966,9595700
2015-10-26,1.92,2.06,1.92,2.06,1.99237,46320000
2015-10-27,2.1,2.14,2.0,2.0,1.934339,60811900
2015-10-28,2.0,2.0,1.91,1.91,1.8472939999999998,15180200
2015-10-29,1.92,1.96,1.84,1.84,1.7795919999999998,21584100
2015-10-30,1.86,1.89,1.81,1.84,1.7795919999999998,11696100
2015-11-02,1.86,1.89,1.85,1.88,1.818279,9386700
